,US EPSI,US EPSI 16wk MA,EuroZone EPSI,EuroZone EPSI 16wk MA,Germany EPSI,Germany EPSI 16wk MA,Italy EPSI,Italy EPSI 16wk MA,Spain EPSI,Spain EPSI 16wk MA,France EPSI,France EPSI 16wk MA,EURUSD Curncy WklyClose,USDCNY Curncy WklyClose,USFS011 Curncy WklyClose,EUSA0101 Curncy WklyClose,SX5E Index WklyClose,SPX Index WklyClose,USGG10YR Index WklyClose,GDBR10 Index WklyClose
2000-04-29,-1.09219,0.788259375,1.5,0.21875,0.92857,-2.7455350000000003,0.0,0.8333325,-1.0,-0.625,1.11667,0.53646125,0.9119,8.2799,7.594,5.1857,5303.95,1452.43,6.212,5.298
2000-05-06,-1.27401,0.7188218749999999,0.5,0.25,-1.07143,-2.712499375,0.33333,0.791665625,-2.0,-0.625,1.11667,0.6062531250000001,0.897,8.2799,7.9519,5.4753,5351.71,1432.63,6.505,5.421
2000-05-13,-0.53488,0.63308,0.5,0.28125,-2.27143,-2.69196375,0.33333,0.74999875,-2.0,-0.625,1.11667,0.613545,0.9197,8.2778,7.991,5.5925,5238.42,1420.96,6.512,5.394
2000-05-20,0.28563,0.5497068749999999,0.5,0.375,-4.27143,-2.821428125,0.33333,0.708331875,-2.0,-0.625,1.11667,0.64167,0.8975,8.2768,7.7755,5.7249,5063.46,1406.95,6.494,5.416
2000-05-27,-0.49697,0.39043249999999996,0.5,0.46875,-5.87143,-2.9258925,0.33333,0.645831875,-2.0,-0.75,0.61667,0.6385449999999999,0.9309,8.2771,7.6323,5.4015,5007.97,1378.02,6.331,5.202
2000-06-03,-1.04961,0.27354125,1.5,0.625,-4.87143,-3.0125,-0.16667,0.552081875,-1.0,-0.8125,-0.88333,0.5416699999999999,0.9463,8.2771,7.3153,5.3186,5428.27,1477.26,6.152,5.089
2000-06-10,-1.77688,0.07662125,1.5,0.78125,-4.15714,-2.9294643750000002,0.83333,0.520831875,-1.0,-0.875,-0.88333,0.4447949999999999,0.9536,8.2772,7.4672,5.4614,5292.97,1456.95,6.126,5.147
2000-06-17,-2.43205,-0.16124687499999998,1.5,0.875,-2.15714,-2.73392875,0.83333,0.48958187500000006,-1.0,-0.9375,0.11667,0.3979199999999999,0.965,8.2768,7.1151,5.303,5281.57,1464.46,5.971,5.09
2000-06-24,-2.86062,-0.42046562499999995,1.5,0.96875,-1.15714,-2.569643125,0.83333,0.47916500000000006,-1.0,-1.0,0.61667,0.3822949999999999,0.9359,8.2769,7.4189,5.6389,5240.58,1441.48,6.185,5.257
2000-07-01,-3.03135,-0.7143937499999999,-0.5,0.9375,0.84286,-2.2982143749999997,1.83333,0.5312481250000001,-1.0,-1.0625,1.61667,0.4291699999999999,0.9525,8.2782,7.262,5.5449,5145.35,1454.6,6.031,5.221
